Barangay_No,Barangay,x,y,Year,Month,Dengue Cases
2,BAGONG SILANG,8.2418,124.252,2016,9,4
2,BAGONG SILANG,8.2418,124.252,2017,9,0
2,BAGONG SILANG,8.2418,124.252,2018,9,3
2,BAGONG SILANG,8.2418,124.252,2019,9,18
2,BAGONG SILANG,8.2418,124.252,2020,9,0
2,BAGONG SILANG,8.2418,124.252,2021,9,0
2,BAGONG SILANG,8.2418,124.252,2022,9,5
2,BAGONG SILANG,8.2418,124.252,2011,10,0
2,BAGONG SILANG,8.2418,124.252,2012,10,1
2,BAGONG SILANG,8.2418,124.252,2013,10,1
2,BAGONG SILANG,8.2418,124.252,2014,10,0
2,BAGONG SILANG,8.2418,124.252,2015,10,0
2,BAGONG SILANG,8.2418,124.252,2016,10,1
2,BAGONG SILANG,8.2418,124.252,2017,10,0
2,BAGONG SILANG,8.2418,124.252,2018,10,5
2,BAGONG SILANG,8.2418,124.252,2019,10,11
2,BAGONG SILANG,8.2418,124.252,2020,10,0
2,BAGONG SILANG,8.2418,124.252,2021,10,1
2,BAGONG SILANG,8.2418,124.252,2022,10,1
2,BAGONG SILANG,8.2418,124.252,2011,11,0
2,BAGONG SILANG,8.2418,124.252,2012,11,1
2,BAGONG SILANG,8.2418,124.252,2013,11,0
2,BAGONG SILANG,8.2418,124.252,2014,11,0
2,BAGONG SILANG,8.2418,124.252,2015,11,2
2,BAGONG SILANG,8.2418,124.252,2016,11,1
2,BAGONG SILANG,8.2418,124.252,2017,11,1
2,BAGONG SILANG,8.2418,124.252,2018,11,3
2,BAGONG SILANG,8.2418,124.252,2019,11,6
2,BAGONG SILANG,8.2418,124.252,2020,11,2
2,BAGONG SILANG,8.2418,124.252,2021,11,2
2,BAGONG SILANG,8.2418,124.252,2022,11,3
2,BAGONG SILANG,8.2418,124.252,2011,12,0
2,BAGONG SILANG,8.2418,124.252,2012,12,0
2,BAGONG SILANG,8.2418,124.252,2013,12,1
2,BAGONG SILANG,8.2418,124.252,2014,12,0
2,BAGONG SILANG,8.2418,124.252,2015,12,1
2,BAGONG SILANG,8.2418,124.252,2016,12,0
2,BAGONG SILANG,8.2418,124.252,2017,12,2
2,BAGONG SILANG,8.2418,124.252,2018,12,9
2,BAGONG SILANG,8.2418,124.252,2019,12,1
2,BAGONG SILANG,8.2418,124.252,2020,12,0
2,BAGONG SILANG,8.2418,124.252,2021,12,4
2,BAGONG SILANG,8.2418,124.252,2022,12,1
3,BONBONON,8.2667,124.2902,2011,1,0
3,BONBONON,8.2667,124.2902,2012,1,0
3,BONBONON,8.2667,124.2902,2013,1,0
3,BONBONON,8.2667,124.2902,2014,1,0
3,BONBONON,8.2667,124.2902,2015,1,0
3,BONBONON,8.2667,124.2902,2016,1,0
