Barangay,Month,Year,Dengue Cases
HINAPLANON,9,2019,1
HINAPLANON,9,2019,1
HINAPLANON,9,2019,1
HINAPLANON,9,2019,1
HINAPLANON,9,2019,1
HINAPLANON,10,2019,1
HINAPLANON,10,2019,1
HINAPLANON,10,2019,1
HINAPLANON,10,2019,1
HINAPLANON,10,2019,1
HINAPLANON,10,2019,1
HINAPLANON,10,2019,1
HINAPLANON,11,2019,1
HINAPLANON,11,2019,1
HINAPLANON,11,2019,1
HINAPLANON,11,2019,1
HINAPLANON,11,2019,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,1
HINAPLANON,1,2020,0
HINAPLANON,1,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,2,2020,1
HINAPLANON,3,2020,1
HINAPLANON,3,2020,1
HINAPLANON,3,2020,1
HINAPLANON,3,2020,1
HINAPLANON,3,2020,1
HINAPLANON,7,2020,1
HINAPLANON,7,2020,1
HINAPLANON,8,2020,1
HINAPLANON,12,2020,1
HINAPLANON,12,2020,1
HINDANG,7,2019,1
HINDANG,11,2020,1
KABACSANAN,6,2019,1
KIWALAN,4,2017,1
KIWALAN,6,2018,1
KIWALAN,8,2018,1
KIWALAN,12,2018,1
KIWALAN,1,2019,1
KIWALAN,1,2019,1
KIWALAN,6,2019,1
KIWALAN,7,2019,1
KIWALAN,8,2019,1
KIWALAN,8,2019,1
KIWALAN,10,2019,1
KIWALAN,1,2020,1
KIWALAN,3,2020,1
LUINAB,6,2015,1
LUINAB,2,2016,1
LUINAB,2,2017,1
LUINAB,7,2017,1
LUINAB,1,2018,1
LUINAB,5,2018,1
LUINAB,6,2018,1
LUINAB,7,2018,1
LUINAB,7,2018,1
LUINAB,7,2018,1
LUINAB,11,2018,1
LUINAB,12,2018,1
LUINAB,1,2019,1
LUINAB,1,2019,1
LUINAB,1,2019,1
LUINAB,1,2019,1
LUINAB,1,2019,1
LUINAB,1,2019,1
LUINAB,1,2019,1
LUINAB,2,2019,1
LUINAB,2,2019,1
LUINAB,3,2019,1
LUINAB,4,2019,1
LUINAB,6,2019,0
LUINAB,6,2019,1
LUINAB,6,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,7,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,8,2019,1
LUINAB,9,2019,1
LUINAB,9,2019,1
LUINAB,9,2019,0
LUINAB,9,2019,1
LUINAB,9,2019,1
LUINAB,10,2019,1
LUINAB,10,2019,1
LUINAB,10,2019,1
LUINAB,11,2019,1
LUINAB,11,2019,1
LUINAB,11,2019,1
LUINAB,11,2019,1
LUINAB,11,2019,1
LUINAB,12,2019,1
LUINAB,12,2019,1
LUINAB,12,2019,1
LUINAB,12,2019,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,1,2020,1
LUINAB,2,2020,1
LUINAB,2,2020,1
LUINAB,2,2020,1
LUINAB,2,2020,1
LUINAB,2,2020,1
LUINAB,3,2020,1
LUINAB,3,2020,1
LUINAB,4,2020,1
LUINAB,5,2020,1
LUINAB,5,2020,1
LUINAB,5,2020,1
LUINAB,5,2020,1
LUINAB,6,2020,1
LUINAB,6,2020,1
LUINAB,6,2020,1
LUINAB,6,2020,1
LUINAB,7,2020,1
LUINAB,11,2020,1
LUINAB,,,1
LUMBAC,3,2019,1
MAHAYHAY,7,2018,1
MAHAYHAY,8,2018,1
MAHAYHAY,8,2018,1
MAHAYHAY,12,2018,1
MAHAYHAY,12,2018,1
MAHAYHAY,12,2018,1
MAHAYHAY,1,2019,1
MAHAYHAY,2,2019,1
MAHAYHAY,2,2019,1
MAHAYHAY,3,2019,1
MAHAYHAY,5,2019,1
MAHAYHAY,6,2019,1
MAHAYHAY,6,2019,1
MAHAYHAY,6,2019,1
MAHAYHAY,7,2019,1
MAHAYHAY,7,2019,1
MAHAYHAY,8,2019,1
MAHAYHAY,8,2019,0
MAHAYHAY,8,2019,1
MAHAYHAY,8,2019,1
MAHAYHAY,8,2019,1
MAHAYHAY,8,2019,1
MAHAYHAY,9,2019,1
MAHAYHAY,9,2019,1
MAHAYHAY,10,2019,1
MAHAYHAY,10,2019,1
MAHAYHAY,10,2019,1
MAHAYHAY,10,2019,1
MAHAYHAY,11,2019,1
MAHAYHAY,12,2019,1
MAHAYHAY,1,2020,1
MAHAYHAY,1,2020,0
MAHAYHAY,2,2020,1
MAHAYHAY,2,2020,1
MAHAYHAY,2,2020,1
MAHAYHAY,2,2020,1
MAHAYHAY,2,2020,1
MAHAYHAY,4,2020,1
MAHAYHAY,4,2020,1
MAHAYHAY,12,2020,1
MANDULOG,1,2017,1
MANDULOG,11,2018,1
MANDULOG,2,2019,1
MANDULOG,6,2019,1
MANDULOG,7,2019,1
MANDULOG,8,2019,1
MANDULOG,11,2019,1
MARIA CRISTINA,1,2019,1
MARIA CRISTINA,7,2019,1
MARIA CRISTINA,7,2019,1
MARIA CRISTINA,7,2019,1
MARIA CRISTINA,8,2019,1
MARIA CRISTINA,8,2019,1
MARIA CRISTINA,8,2019,1
MARIA CRISTINA,8,2019,1
MARIA CRISTINA,8,2019,1
MARIA CRISTINA,8,2019,1
MARIA CRISTINA,9,2019,1
MARIA CRISTINA,9,2019,1
MARIA CRISTINA,9,2019,1
MARIA CRISTINA,10,2019,1
MARIA CRISTINA,10,2019,1
MARIA CRISTINA,12,2019,1
MARIA CRISTINA,12,2019,1
MARIA CRISTINA,1,2020,1
MARIA CRISTINA,2,2020,1
MARIA CRISTINA,2,2020,1
MARIA CRISTINA,3,2020,1
MARIA CRISTINA,4,2020,1
MARIA CRISTINA,4,2020,1
MARIA CRISTINA,4,2020,1
MARIA CRISTINA,7,2020,1
MARIA CRISTINA,10,2020,1
MARIA CRISTINA,10,2020,1
MARIA CRISTINA,10,2020,1
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,11,2020,0
MARIA CRISTINA,11,2020,1
MARIA CRISTINA,12,2020,1
MARIA CRISTINA,12,2020,1
MARIA CRISTINA,12,2020,1
MARIA CRISTINA,12,2020,1
MARIA CRISTINA,12,2020,1
MARIA CRISTINA,12,2020,0
MARIA-CRISTINA,4,2019,1
MARIA-CRISTINA,5,2019,1
MARIA-CRISTINA,7,2019,1
MARIA-CRISTINA,9,2019,1
MARIA-CRISTINA,9,2019,1
MARIA-CRISTINA,9,2019,1
PALAO,1,2017,1
PALAO,1,2017,1
PALAO,1,2017,1
PALAO,1,2017,1
PALAO,1,2017,1
PALAO,2,2017,1
PALAO,4,2017,1
PALAO,1,2018,1
PALAO,3,2018,1
PALAO,3,2018,1
PALAO,7,2018,1
PALAO,8,2018,1
PALAO,8,2018,1
PALAO,8,2018,1
PALAO,12,2018,1
PALAO,1,2019,1
PALAO,1,2019,1
PALAO,1,2019,1
PALAO,1,2019,1
PALAO,2,2019,1
PALAO,2,2019,1
PALAO,2,2019,1
PALAO,2,2019,1
PALAO,2,2019,1
PALAO,2,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,3,2019,1
PALAO,4,2019,1
PALAO,4,2019,1
PALAO,4,2019,1
PALAO,6,2019,1
PALAO,6,2019,0
PALAO,6,2019,0
PALAO,6,2019,1
PALAO,7,2019,1
PALAO,7,2019,1
PALAO,7,2019,1
PALAO,7,2019,1
PALAO,7,2019,1
PALAO,7,2019,1
PALAO,7,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,8,2019,1
PALAO,9,2019,1
PALAO,9,2019,1
PALAO,9,2019,0
PALAO,9,2019,1
PALAO,9,2019,1
PALAO,9,2019,1
PALAO,10,2019,1
PALAO,10,2019,1
PALAO,10,2019,1
PALAO,10,2019,0
PALAO,10,2019,1
PALAO,10,2019,1
PALAO,11,2019,1
PALAO,11,2019,1
PALAO,11,2019,1
PALAO,12,2019,1
PALAO,12,2019,1
PALAO,1,2020,1
PALAO,1,2020,1
PALAO,1,2020,1
PALAO,2,2020,1
PALAO,2,2020,1
PALAO,2,2020,1
PALAO,2,2020,1
PALAO,2,2020,0
PALAO,2,2020,1
